LONELY_ucla_loneliness_scale_score,CONNECTION_activities_talked_day_p3m,GEO_housing_live_with_dogs,GEO_housing_live_with_cats
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,Weekly,1,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,A few times a week,0,0
NA,NA,NA,NA
5,Daily or almost daily,1,1
NA,NA,NA,NA
NA,NA,NA,NA
6,Daily or almost daily,2,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,A few times a month,0,0
6,Weekly,0,0
NA,NA,NA,NA
5,Weekly,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,A few times a month,0,1
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,Monthly,4,1
9,A few times a week,1,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,A few times a month,3,1
NA,NA,NA,NA
6,Weekly,NA,NA
4,Monthly,0,9
8,Weekly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
5,A few times a month,2,3
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Less than monthly,1,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,A few times a month,2,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,A few times a month,3,NA
4,A few times a month,1,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,A few times a week,NA,NA
4,A few times a week,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,Weekly,0,0
NA,NA,NA,NA
6,Daily or almost daily,0,0
6,Weekly,NA,NA
6,A few times a week,0,0
9,Less than monthly,1,0
9,Weekly,NA,NA
5,Weekly,1,0
NA,NA,NA,NA
5,Weekly,1,0
NA,NA,NA,NA
9,Monthly,1,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Daily or almost daily,0,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,Weekly,1,1
NA,NA,NA,NA
5,Weekly,2,1
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,A few times a month,0,0
NA,NA,NA,NA
9,A few times a week,0,1
NA,Weekly,NA,NA
3,Weekly,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,Monthly,1,1
6,Weekly,0,0
6,A few times a week,NA,NA
8,Daily or almost daily,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
8,Less than monthly,0,NA
NA,NA,NA,NA
6,A few times a month,NA,NA
NA,NA,NA,NA
6,A few times a month,2,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,A few times a month,NA,1
5,Weekly,1,1
4,Daily or almost daily,0,0
6,A few times a month,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,Monthly,NA,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,A few times a month,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Less than monthly,0,0
6,Less than monthly,NA,NA
8,Weekly,7,8
NA,NA,NA,NA
7,Not in the past three months,NA,1
6,A few times a week,1,1
5,Monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,Less than monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
3,Weekly,1,1
5,Daily or almost daily,2,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,Daily or almost daily,NA,NA
6,Weekly,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,A few times a week,NA,1
NA,NA,NA,NA
8,Daily or almost daily,NA,NA
9,A few times a week,NA,NA
9,Daily or almost daily,0,0
6,Daily or almost daily,NA,NA
6,A few times a week,NA,NA
6,A few times a month,0,0
6,A few times a week,0,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,A few times a month,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,Monthly,NA,NA
6,Not in the past three months,0,0
5,Weekly,0,0
6,A few times a week,1,0
NA,NA,NA,NA
NA,NA,NA,NA
7,Daily or almost daily,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,Daily or almost daily,0,0
NA,NA,NA,NA
NA,NA,NA,NA
4,A few times a month,0,0
NA,NA,NA,NA
5,A few times a month,1,0
NA,NA,NA,NA
NA,NA,NA,NA
3,Daily or almost daily,0,0
NA,NA,NA,NA
7,A few times a month,1,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,Not in the past three months,NA,1
4,Monthly,30,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Weekly,NA,NA
6,Not in the past three months,0,3
6,Less than monthly,0,5
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,Weekly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,Less than monthly,1,0
4,Weekly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,Daily or almost daily,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Daily or almost daily,3,3
NA,NA,NA,NA
NA,NA,NA,NA
7,Monthly,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Daily or almost daily,5,3
NA,NA,NA,NA
6,Less than monthly,0,0
6,Daily or almost daily,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,Daily or almost daily,0,0
NA,NA,NA,NA
NA,NA,NA,NA
6,Monthly,0,0
NA,NA,NA,NA
4,Less than monthly,1,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,A few times a week,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,Less than monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
5,Monthly,0,3
NA,NA,NA,NA
NA,NA,NA,NA
8,Daily or almost daily,0,0
3,Monthly,NA,NA
5,A few times a week,0,0
6,Weekly,1,1
NA,NA,NA,NA
NA,NA,NA,NA
5,Less than monthly,2,3
NA,NA,NA,NA
NA,NA,NA,NA
6,Daily or almost daily,0,4
NA,NA,NA,NA
4,Daily or almost daily,NA,NA
6,Weekly,0,1
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,A few times a month,1,0
3,A few times a month,0,1
4,Not in the past three months,0,0
5,Weekly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
7,A few times a month,1,1
NA,NA,NA,NA
5,Monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,A few times a month,0,0
NA,NA,NA,NA
4,A few times a month,2,0
3,Weekly,1,0
NA,NA,NA,NA
NA,NA,NA,NA
3,Less than monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
9,Monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
8,A few times a month,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,A few times a month,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
3,A few times a week,1,0
NA,NA,NA,NA
NA,NA,NA,NA
7,Less than monthly,1,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,Monthly,NA,NA
7,A few times a week,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,Daily or almost daily,1,0
NA,NA,NA,NA
NA,NA,NA,NA
3,A few times a month,NA,NA
3,A few times a month,NA,NA
3,Less than monthly,1,3
7,A few times a week,0,5
4,A few times a week,NA,NA
5,A few times a week,NA,NA
5,Weekly,1,0
NA,NA,NA,NA
4,Monthly,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,Less than monthly,NA,NA
9,A few times a month,NA,NA
6,A few times a week,7,0
NA,NA,NA,NA
NA,NA,NA,NA
5,Weekly,3,4
6,Monthly,NA,NA
7,A few times a month,NA,NA
5,Daily or almost daily,2,NA
NA,NA,NA,NA
7,A few times a week,NA,NA
6,Monthly,0,NA
6,A few times a week,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,A few times a month,NA,NA
4,Weekly,NA,NA
NA,NA,NA,NA
4,Daily or almost daily,0,1
NA,NA,NA,NA
NA,NA,NA,NA
7,Not in the past three months,NA,NA
NA,NA,NA,NA
4,Not in the past three months,1,0
6,A few times a week,1,0
5,A few times a month,2,1
NA,NA,NA,NA
6,Not in the past three months,0,0
NA,NA,NA,NA
NA,NA,NA,NA
6,Less than monthly,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
9,A few times a month,0,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,Weekly,0,0
NA,Less than monthly,NA,NA
5,Weekly,1,1
NA,NA,NA,NA
NA,NA,NA,NA
7,Daily or almost daily,1,1
NA,NA,NA,NA
NA,NA,NA,NA
9,Monthly,3,2
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,Less than monthly,0,0
NA,NA,NA,NA
9,Daily or almost daily,NA,NA
NA,NA,NA,NA
