DEMO_age,DEMO_gender,DEMO_identity_indigenous,DEMO_identity_lgbtq,LONELY_ucla_loneliness_scale_score
71,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
69,Woman,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
54,Woman,NA,Not Selected,NA
30,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
55,Woman,NA,Not Selected,NA
50,Woman,NA,Not Selected,NA
52,Woman,NA,Not Selected,NA
66,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
76,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
49,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
57,NA,NA,NA,NA
48,Woman,Not Selected,Not Selected,6
57,NA,NA,NA,NA
54,Woman,NA,Not Selected,NA
74,NA,NA,NA,NA
38,NA,NA,NA,NA
50,Woman,Not Selected,Not Selected,6
73,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,NA
NA,NA,NA,NA,5
59,NA,NA,NA,NA
44,Woman,NA,Not Selected,NA
42,Man,Not Selected,Not Selected,7
63,NA,NA,NA,NA
67,Woman,NA,Not Selected,NA
71,Man,NA,Not Selected,NA
50,NA,NA,NA,NA
NA,NA,NA,NA,NA
32,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
51,Woman,Not Selected,Not Selected,9
67,Woman,NA,Not Selected,NA
63,NA,NA,NA,NA
29,Man,NA,Not Selected,NA
46,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,Man,Not Selected,Not Selected,6
68,Woman,NA,Not Selected,NA
30,Woman,Not Selected,Not Selected,6
50,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
23,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",8
56,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
27,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
39,NA,NA,NA,NA
26,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
NA,NA,NA,NA,NA
73,Woman,NA,Not Selected,NA
56,NA,NA,NA,NA
77,Woman,NA,Not Selected,NA
75,Woman,NA,Not Selected,NA
25,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
52,Woman,NA,Not Selected,NA
60,Woman,NA,Not Selected,NA
70,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
48,Woman,NA,Not Selected,NA
31,Woman,NA,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
31,NA,NA,NA,NA
85,Woman,NA,Not Selected,NA
52,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
52,NA,NA,NA,NA
55,Woman,NA,Not Selected,NA
48,Woman,NA,Not Selected,NA
36,Man,Not Selected,Not Selected,5
35,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
44,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
24,Woman,Not Selected,Not Selected,NA
63,Woman,NA,Not Selected,NA
36,NA,NA,NA,NA
NA,NA,NA,NA,3
NA,NA,NA,NA,4
69,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
32,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
60,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
32,Man,Not Selected,Not Selected,6
NA,NA,NA,NA,6
68,Woman,Not Selected,Not Selected,6
63,Man,Not Selected,Not Selected,9
NA,NA,NA,NA,9
31,Man,Not Selected,Not Selected,5
36,NA,NA,NA,NA
25,Woman,Not Selected,Not Selected,5
29,Presented but no response,NA,NA,NA
44,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
66,Presented but no response,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,NA,NA,NA,NA
